Raw Gaze R,Raw Gaze L,Gaze Mid X,Gaze Mid Y,Time
|Point2d(x=0.095544, y=0.043554)|,|Point2d(x=0.139781, y=0.080462)|,0.11766251921653748,0.062007779255509377,1580609976.73436
|Point2d(x=0.098592, y=0.037628)|,|Point2d(x=0.138332, y=0.079932)|,0.1184619702398777,0.0587795227766037,1580609976.754473
|Point2d(x=0.102968, y=0.035178)|,|Point2d(x=0.130464, y=0.077917)|,0.116715919226408,0.05654730275273323,1580609976.757226
|Point2d(x=0.104263, y=0.029743)|,|Point2d(x=0.133793, y=0.082114)|,0.11902787908911705,0.05592843517661095,1580609976.767259
|Point2d(x=0.093496, y=0.039687)|,|Point2d(x=0.120425, y=0.081626)|,0.10696066915988922,0.06065676361322403,1580609976.779066
|Point2d(x=0.064620, y=0.042883)|,|Point2d(x=0.088613, y=0.091037)|,0.07661643251776695,0.06695982627570629,1580609976.790424
|Point2d(x=0.032262, y=0.050104)|,|Point2d(x=0.057486, y=0.101339)|,0.0448739193379879,0.07572178170084953,1580609976.800839
|Point2d(x=0.020240, y=0.051228)|,|Point2d(x=0.054602, y=0.109276)|,0.03742112498730421,0.08025236614048481,1580609976.812492
|Point2d(x=0.024515, y=0.050102)|,|Point2d(x=0.067389, y=0.117443)|,0.04595177806913853,0.0837724357843399,1580609976.823455
|Point2d(x=0.022915, y=0.046388)|,|Point2d(x=0.065238, y=0.118856)|,0.044076534919440746,0.08262237161397934,1580609976.834081
|Point2d(x=0.024425, y=0.045358)|,|Point2d(x=0.067272, y=0.120230)|,0.04584859125316143,0.08279377967119217,1580609976.845909
|Point2d(x=0.021476, y=0.049036)|,|Point2d(x=0.065721, y=0.116019)|,0.04359812010079622,0.0825273972004652,1580609976.857197
|Point2d(x=0.022457, y=0.049430)|,|Point2d(x=0.068334, y=0.116136)|,0.045395481400191784,0.08278307504951954,1580609976.867484
|Point2d(x=0.025349, y=0.049304)|,|Point2d(x=0.066727, y=0.116414)|,0.04603808466345072,0.08285894058644772,1580609976.879285
|Point2d(x=0.032505, y=0.048633)|,|Point2d(x=0.071472, y=0.117166)|,0.05198822543025017,0.08289957232773304,1580609976.890441
|Point2d(x=0.031380, y=0.050451)|,|Point2d(x=0.070502, y=0.116773)|,0.05094098299741745,0.08361219801008701,1580609976.900702
|Point2d(x=0.025441, y=0.054870)|,|Point2d(x=0.068757, y=0.115155)|,0.04709915816783905,0.08501248620450497,1580609976.912559
|Point2d(x=0.018432, y=0.052590)|,|Point2d(x=0.047618, y=0.118289)|,0.03302470501512289,0.08543932996690273,1580609976.92356
|Point2d(x=0.015956, y=0.044417)|,|Point2d(x=0.038678, y=0.117454)|,0.027316956780850887,0.08093548193573952,1580609976.934152
|Point2d(x=0.019719, y=0.040993)|,|Point2d(x=0.036687, y=0.113680)|,0.028203096240758896,0.07733639888465405,1580609976.946052
|Point2d(x=0.013688, y=0.036138)|,|Point2d(x=0.043408, y=0.105327)|,0.028548108879476786,0.07073248364031315,1580609976.957177
|Point2d(x=0.011058, y=0.036530)|,|Point2d(x=0.042458, y=0.107220)|,0.02675767010077834,0.0718753021210432,1580609976.967449
|Point2d(x=0.021352, y=0.038442)|,|Point2d(x=0.041098, y=0.108824)|,0.031224841251969337,0.07363300770521164,1580609976.979424
|Point2d(x=0.030274, y=0.057456)|,|Point2d(x=0.035342, y=0.103122)|,0.03280819021165371,0.08028888702392578,1580609976.990468
|Point2d(x=0.029252, y=0.056721)|,|Point2d(x=0.036495, y=0.102363)|,0.03287345264106989,0.07954199984669685,1580609977.001117
|Point2d(x=0.017176, y=0.057764)|,|Point2d(x=0.036998, y=0.103229)|,0.027087224647402763,0.08049667999148369,1580609977.012554
